productId,name,cleanName,extCardType,extStage,imageUrl,subTypeName,extRarity,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,extUPC,extNumber,extHP,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
277324,Lost Origin Booster Box,Lost Origin Booster Box,,,https://tcgplayer-cdn.tcgplayer.com/product/277324_200w.jpg,Normal,,3,3118,https://cpt.tcgcsv.com/vXd3,2022-09-09T04:03:39.38,1,Each Sword & Shield— Lost Origin booster box contains 36 booster packs. <em>(Each pack contains 10 random cards)</em>,750.0,987.44,2500.0,732.27,,,,,,,,,
277325,Lost Origin Booster Pack,Lost Origin Booster Pack,,,https://tcgplayer-cdn.tcgplayer.com/product/277325_200w.jpg,Normal,,3,3118,https://cpt.tcgcsv.com/wXd3,2022-09-09T04:03:39.38,1,Each Lost Origin booster pack contains 10 random cards.,10.0,15.0,36.63,14.47,,,,,,,,,
277326,Lost Origin Sleeved Booster Pack,Lost Origin Sleeved Booster Pack,,,https://tcgplayer-cdn.tcgplayer.com/product/277326_200w.jpg,Normal,,3,3118,https://cpt.tcgcsv.com/xXd3,2022-09-09T04:03:39.38,1,Each Lost Origin sleeved booster pack contains 10 random cards.,15.5,17.0,161580.17,16.05,,,,,,,,,
277327,Lost Origin Single Pack Blister [Croagunk],Lost Origin Single Pack Blister Croagunk,,,https://tcgplayer-cdn.tcgplayer.com/product/277327_200w.jpg,Normal,,3,3118,https://cpt.tcgcsv.com/zXd3,2022-09-09T04:03:39.38,1,"Each blister comes with 1 Lost Origin booster pack, a coin, and a promotional card of Croagunk.",15.96,20.89,29.95,14.98,,,,,,,,,
277328,Lost Origin Single Pack Blister [Scorbunny],Lost Origin Single Pack Blister Scorbunny,,,https://tcgplayer-cdn.tcgplayer.com/product/277328_200w.jpg,Normal,,3,3118,https://cpt.tcgcsv.com/BXd3,2022-09-09T04:03:39.38,1,"Each blister comes with 1 Lost Origin booster pack, a coin, and a promotional card of Scorbunny.",17.58,19.99,212113.09,15.29,,,,,,,,,
277329,Lost Origin 3 Pack Blister [Regigigas],Lost Origin 3 Pack Blister Regigigas,,,https://tcgplayer-cdn.tcgplayer.com/product/277329_200w.jpg,Normal,,3,3118,https://cpt.tcgcsv.com/CXd3,2022-09-09T04:03:39.38,1,"Each 3 Pack blister comes with 3 Lost Origin booster packs, 1 coin, and a promotional card of Regigigas.",60.99,60.99,60.99,54.49,,0820650850608,,,,,,,
277330,Lost Origin 3 Pack Blister [Weavile],Lost Origin 3 Pack Blister Weavile,,,https://tcgplayer-cdn.tcgplayer.com/product/277330_200w.jpg,Normal,,3,3118,https://cpt.tcgcsv.com/DXd3,2022-09-09T04:03:39.38,1,"Each 3 Pack blister comes with 3 Lost Origin booster packs, 1 coin, and a promotional card of Weavile.",69.99,75.0,86.97,52.66,,0820650850608,,,,,,,
277331,Lost Origin Premium Checklane Blister [Infernape],Lost Origin Premium Checklane Blister Infernape,,,https://tcgplayer-cdn.tcgplayer.com/product/277331_200w.jpg,Normal,,3,3118,https://cpt.tcgcsv.com/FXd3,2022-09-09T04:03:39.38,1,"Contains 1 Sword & Shield — Lost Origin booster pack, a TCGO Code, Coin and 3 cards with an evolution line.",19.99,22.49,50.0,20.42,,,,,,,,,
277334,Lost Origin Premium Checklane Blister [Torterra],Lost Origin Premium Checklane Blister Torterra,,,https://tcgplayer-cdn.tcgplayer.com/product/277334_200w.jpg,Normal,,3,3118,https://cpt.tcgcsv.com/JXd3,2022-09-09T04:03:39.38,1,"Contains 1 Sword & Shield — Lost Origin booster pack, a TCGO Code, Coin and 3 cards with an evolution line.",20.0,23.99,50.0,21.19,,,,,,,,,
277335,Lost Origin Elite Trainer Box,Lost Origin Elite Trainer Box,,,https://tcgplayer-cdn.tcgplayer.com/product/277335_200w.jpg,Normal,,3,3118,https://cpt.tcgcsv.com/KXd3,2022-09-09T04:03:39.38,1,"<em><strong>(This product is not the Pokemon Center Exclusive)</em></strong>
<br><br>THE POKÉMON TCG: SWORD & SHIELD — Lost Origin ELITE TRAINER BOX includes:
<br>• 8 Pokémon TCG: Sword & Shield—Lost Origin booster packs
<br>• 65 card sleeves featuring Giratina
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide
<br>• A Pokémon TCG rulebook
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokémon Trading Card Game Online",147.99,175.0,499.9,158.08,,0820650850714,,,,,,,
277336,Lost Origin Pokemon Center Elite Trainer Box (Exclusive),Lost Origin Pokemon Center Elite Trainer Box Exclusive,,,https://tcgplayer-cdn.tcgplayer.com/product/277336_200w.jpg,Normal,,3,3118,https://cpt.tcgcsv.com/LXd3,2024-11-07T20:55:41.333,1,"This Pokémon TCG: Sword & Shield—Lost Origin Pokémon Center Elite Trainer Box can be found only at Pokémon Center and comes with exclusive accessories—an extra set of 65 card sleeves and a metallic coin—plus 10 booster packs (two more than in a standard Elite Trainer Box).
<br><br>• 10 Pokémon TCG: Sword & Shield—Lost Origin booster packs
<br>• 1 metal pin featuring Giratina
<br>• 45 Pokémon TCG Energy cards
<br>• A player’s guide to the Sword & Shield—Lost Origin expansion
<br>• A Pokémon TCG rulebook
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 1 metallic coin featuring Giratina
<br>• 2 acrylic condition markers
<br>• A collector’s box to hold everything, with 4 dividers to keep it organized
<br>• A code card for the Pokémon Trading Card Game Online",234.18,300.0,2999.99,234.22,,,,,,,,,
277345,Lost Origin Build & Battle Box,Lost Origin Build and Battle Box,,,https://tcgplayer-cdn.tcgplayer.com/product/277345_200w.jpg,Normal,,3,3118,https://cpt.tcgcsv.com/WXd3,2022-09-09T04:03:39.38,1,"EACH POKÉMON TCG: SWORD & SHIELD—Lost Origin BUILD & BATTLE BOX INCLUDES:
<br>• 40-card ready-to-play decks
<br>• 1 of 4 promo cards
<br>• 4 Pokémon TCG: Sword & Shield—Lost Origin booster packs
<br>• 1 deck-building tip sheet",60.0,66.75,99.95,62.9,,,,,,,,,
277346,Lost Origin Build & Battle Stadium,Lost Origin Build and Battle Stadium,,,https://tcgplayer-cdn.tcgplayer.com/product/277346_200w.jpg,Normal,,3,3118,https://cpt.tcgcsv.com/XXd3,2025-02-05T19:46:33.707,1,"The Build & Battle Stadium includes everything you need for two players to prepare and battle. Inside this box, you’ll find::
<br>• 2 individual Build & Battle Boxes, each containing a 40-card ready-to-play deck
<br>• Each deck includes 1 of 4 unique foil promo cards
<br>• 4 additional Pokémon TCG: Sword & Shield—Lost Origin booster packs, so you get 12 in all
<br>• 121 Pokémon TCG Energy cards
<br>• 6 damage-counter dice
<br>• 1 competition-legal coin-flip die
<br>• 2 acrylic condition markers
<br>• A collector’s box to hold everything",184.0,211.42,319.19,172.03,,,,,,,,,
277671,Code Card - Lost Origin Build & Battle Box,Code Card Lost Origin Build and Battle Box,,,https://tcgplayer-cdn.tcgplayer.com/product/277671_200w.jpg,Normal,Code Card,3,3118,https://cpt.tcgcsv.com/r5f3,2022-09-09T04:03:39.38,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",0.07,0.17,1.0,0.21,,,,,,,,,
277672,Code Card - Lost Origin Pokemon Center Elite Trainer Box (Exclusive),Code Card Lost Origin Pokemon Center Elite Trainer Box Exclusive,,,https://tcgplayer-cdn.tcgplayer.com/product/277672_200w.jpg,Normal,Code Card,3,3118,https://cpt.tcgcsv.com/s5f3,2022-09-09T04:03:39.38,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",1.95,2.35,2.38,2.37,,,,,,,,,
277673,Code Card - Lost Origin Elite Trainer Box,Code Card Lost Origin Elite Trainer Box,,,https://tcgplayer-cdn.tcgplayer.com/product/277673_200w.jpg,Normal,Code Card,3,3118,https://cpt.tcgcsv.com/t5f3,2022-09-09T04:03:39.38,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",0.04,0.12,3.95,0.12,,,,,,,,,
277674,Code Card - Lost Origin Booster Pack,Code Card Lost Origin Booster Pack,,,https://tcgplayer-cdn.tcgplayer.com/product/277674_200w.jpg,Normal,Code Card,3,3118,https://cpt.tcgcsv.com/v5f3,2022-09-09T04:03:39.38,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",0.01,0.05,9.99,0.03,,,,,,,,,
278792,Lost Origin 3 Pack Blister [Set of 2],Lost Origin 3 Pack Blister Set of 2,,,https://tcgplayer-cdn.tcgplayer.com/product/278792_200w.jpg,Normal,,3,3118,https://cpt.tcgcsv.com/Swf3,2022-09-09T04:03:39.38,1,"Collect each of the Lost Origin 3 Pack Blisters.
<br><br>tEach 3 Pack blister comes with 3 Lost Origin booster packs, 1 coin, and a promotional card of Regigigas or Weavile.",139.5,148.75,149.45,110.54,,,,,,,,,
278793,Lost Origin Booster Box Case,Lost Origin Booster Box Case,,,https://tcgplayer-cdn.tcgplayer.com/product/278793_200w.jpg,Normal,,3,3118,https://cpt.tcgcsv.com/Twf3,2022-09-09T04:03:39.38,1,Each sealed booster box case contains 6 booster boxes of 36 booster packs. <em>(Each pack contains 10 random cards)</em>,4899.99,6224.99,15000.0,4400.7,,0820650870552,,,,,,,
